catid,lat,lng,Description,Name,PHOTOURL,Opening_Hours
TouristAttraction,103.8487,1.29294,The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.,Singapore Philatelic Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-philatetic-museum-carousel01-rect.jpg,updating
TouristAttraction,103.853027,1.288483,This gazetted national monument at Esplanade Park commemorates one of Singapore’s heroes from World War II.,Lim Bo Seng Memorial,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/lim-bo-seng-memorial-carousel01-rect.jpg,updating
TouristAttraction,103.75749,1.41903,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,Kranji War Memorial Landmark in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/kranji-war-memorial-carousel01-rect.jpg,updating
TouristAttraction,103.854217,1.289954,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.,Indian National Army (INA) Monument in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/indian-national-army-carousel01-rect.jpg,updating
TouristAttraction,103.79433,1.27954,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.",Reflections at Bukit Chandu: Singapore War Memorial,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/reflections-at-bukit-chandu-carousel01-rect.jpg,updating
TouristAttraction,103.8538376,1.290348,This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.,The Cenotaph - a Singapore War Memorial Landmark,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/cenotaph-carousel01-rect.jpg,updating
TouristAttraction,103.854618,1.293123,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.",The Civilian War Memorial park in Singapore,UPDATING,updating
TouristAttraction,103.85258,1.30779,"Sri Veeramakaliamman Temple is one of Singapore’s oldest Hindu temples, in the heart of Little India.",Sri Veeramakaliamman Temple: Hindu Temple in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-veeramakaliamman-temple-carousel01-rect.jpg,updating
TouristAttraction,103.85081,1.29821,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.",Maghain Aboth Synagogue,UPDATING,updating
TouristAttraction,103.859171,1.302379,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singapore’s Muslim community.",Sultan Mosque (Masjid Sultan) Singapore,UPDATING,updating
TouristAttraction,103.84538,1.28243,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.",Sri Mariamman Temple: Hindu Temple in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-mariamman-temple-carousel02-rect.jpg,updating
TouristAttraction,103.84966,1.29293,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.,Armenian Church in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/armenian-church-carousel01-rect.jpg,updating
TouristAttraction,103.85168,1.29526,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.",CHIJMES Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/chijmes-carousel01-rect.jpg,updating
TouristAttraction,103.85231,1.29249,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.,St Andrew’s Cathedral- Singapore Architecture Landmark,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/st-andrews-cathedral-temple-carousel01-rect-norender.jpg,updating
TouristAttraction,103.85929,1.28624,Catch world-class touring exhibitions at this premier exhibition space.,ArtScience Museum Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/art-science-musuem-carousel01-rect.jpg,updating
TouristAttraction,103.76883,1.35232,The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.,Old Ford Factory Singapore Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/memories-at-ford-factory-carousel01-rect.jpg,updating
TouristAttraction,103.84452,1.28343,The rare collection of currencies on display here tells Singapore’s story through the money it has used over the years.,Singapore Coins and Notes Museum & Museum Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-coins-and-notes-museum-carousel01-rect.jpg,updating
TouristAttraction,103.84513,1.27987,The Singapore City Gallery tells the story of the city’s physical transformation.,Singapore City Gallery,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-city-gallery-carousel02-rect.jpg,updating
TouristAttraction,103.97403,1.36218,Changi Museum provides an emotional exploration of Singapore’s wartime history during the Japanese Occupation.,Changi Museum Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/changi-museum-carousel01-rect.jpg,updating
TouristAttraction,103.85439,1.29631,This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.,MINT Museum of Toys Singapore & Toy Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/mint-museum-of-toys-carousel02-rect.jpg,updating
TouristAttraction,103.68398,1.34379,The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,"Chinese Heritage Centre, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinese-heritage-centre-carousel02-rect.jpg,updating
TouristAttraction,103.8595,1.30238,"Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.",Kampong Glam & Malay Culture in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/kampong-glam-carousel01-rect-norender.jpg,updating
TouristAttraction,103.8045,1.275,"This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.",Contemporary Arts Center,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/afiq_omar_rect.jpg,updating
TouristAttraction,103.84934,1.2944,This experimental arts centre gives a space for contemporary artists to try out new concepts.,"The Substation, Singapore Contemporary Art Centre",UPDATING,updating
TouristAttraction,103.84572,1.27828,"This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans.","Red Dot Design Museum, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/red-dot-design-museum-carousel01-rect.jpg,updating
TouristAttraction,103.851068,1.297424,"Singapore Art Museum is Singapore’s contemporary art museum, focused on Southeast Asian contemporary art.",Singapore Art Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/singapore-art-museum-carousel01-rect-norender.jpg,updating
TouristAttraction,103.85528,1.2898,Catch a non-stop line-up of world-class performances at Singapore’s premier arts centre.,Esplanade Theatres on the Bay,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/the-esplanade-carousel01-rect.jpg,updating
TouristAttraction,103.85351,1.29882,"The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers.","National Design Centre, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/national-design-centre-carousel01-rect.jpg,updating
TouristAttraction,103.851641,1.28837,"After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014.",Victoria Theatre Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/victoria-theatre-concert-hall-caurousel01-rect.jpg,updating
TouristAttraction,103.7726864,1.3017749,Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore.,"NUS University Museum, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/nus-museum-carousel01-rect.jpg,updating
TouristAttraction,103.84692,1.32795,This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.,Sun Yat Sen Memorial Hall,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/sun-yat-sen-memorial-hall-carousel01-rect.jpg,updating
TouristAttraction,103.851723,1.287384,"Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections.",Asian Civilisations Museum & Singapore Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/asian-civilizations-museum-carousel01-rect.jpg,updating
TouristAttraction,103.815914,1.31384,"Singapore’s oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.",Singapore Botanic Gardens,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-botanic-gardens-carousel01-rect.jpg,updating
TouristAttraction,103.793023,1.404348,"Singapore’s zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats.",Singapore Zoo: Attractions & Things to Do,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-zoo-carousel04-rect.jpg,updating
TouristAttraction,103.789423,1.403732,"At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the park’s waters.",River Safari Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/river-safari-singapore-carousel01-rect.jpg,updating
TouristAttraction,103.8192057,1.2713746,Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun.,Cable Car Singapore & Mount Faber,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/mount-faber-carouse01-rect.jpg,updating
TouristAttraction,103.788061,1.402187,"Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo.","Night Safari, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/night-safari-carousel01-rect.jpg,updating
TouristAttraction,103.9592605,1.4137409,"Gravel roads, lush forests and abundant wildlife â€“ Pulau Ubin is a living showcase of what Singapore was like in the 1960s.",Pulau Ubin & Singapore Islands,UPDATING,updating
TouristAttraction,103.84982,1.30723,Little India is a buzzing historic area that shows off the best of Singapore’s Indian community from vibrant culture to incredible shopping.,Little India Singapore: History & Culture,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/little-india-carousel01-rect.jpg,updating
TouristAttraction,103.83249,1.30429,"Orchard Road, Asia’s most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices.","Orchard Road, Singapore: Asia's Most Famous Shopping Street",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/orchard-carousel01-rect.jpg,updating
TouristAttraction,103.822346,1.344843,The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors.,MacRitchie Singapore & Singapore Nature Reserve,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/macritchie-nature-reserve-carousel01-rect.jpg,updating
TouristAttraction,103.863613,1.281568,"This sprawling garden in the city provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land.",Gardens by the Bay,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/gardens-by-the-bay-carousel02-rect.jpg,updating
TouristAttraction,103.85222,1.29324,"The Civic District is where Singapore’s historical, architectural and cultural heritage started.","Civic District, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/civic-district-carousel01-rect.jpg,updating
TouristAttraction,103.82057,1.26532,"HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax.","HarbourFront, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/harbourfront-carousel01-rect.jpg,updating
